AssetClass,Symbol,Description,ListingExchange,DateTime,Quantity,TradePrice,TradeMoney,Proceeds,Taxes,IBCommission,NetCash,ClosePrice,CostBasis,FifoPnlRealized,Buy/Sell
STK,ETHEEUR,COINSHARES PHYSICAL STK ETHR,EBS,2025-11-03;10:35:21,6,94.635,567.81,-567.81,0,-1.25,-569.06,94.065,569.06,0,BUY
CASH,EUR.USD,EUR.USD,,2025-11-03;17:00:00,-0.0022793,1.1515854,-0.002624812,0.002624812,0,0,0,0,0,0,SELL
STK,META,META PLATFORMS INC-CLASS A,NASDAQ,2025-11-12;08:48:09,1,629.78,629.78,-629.78,0,-0.35047925,-630.13047925,609.01,630.13047925,0,BUY
CASH,EUR.USD,EUR.USD,,2025-11-12;08:48:09,-544.14,1.15653,-629.3142342,629.3142342,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-11-12;08:48:10,-0.05,1.15653,-0.0578265,0.0578265,0,0,0,0,0,0,SELL
STK,ETHEEUR,COINSHARES PHYSICAL STK ETHR,EBS,2025-11-12;14:07:11,4,88.41,353.64,-353.64,0,-1.25,-354.89,88.535,354.89,0,BUY
STK,AAPL,APPLE INC,NASDAQ,2025-11-14;09:30:01,0.0004,271.06,0.108424,-0.108424,0,-0.000108592,-0.108532592,272.41,0.108532592,0,BUY
STK,AAPL,APPLE INC,NASDAQ,2025-11-14;09:30:02,-0.5918,271.09,-160.431062,160.431062,0,-0.350486868,160.080575132,272.41,-101.04955,59.031026,SELL
CASH,EUR.USD,EUR.USD,,2025-11-14;09:30:05,-0.19,1.16113,-0.2206147,0.2206147,0,0,0,0,0,0,SELL
STK,AAPL,APPLE INC,NASDAQ,2025-11-14;09:35:47,-0.0004,270.33,-0.108132,0.108132,0,-0.010007505,0.098124495,272.41,-0.108533,-0.010408,SELL
CASH,EUR.USD,EUR.USD,,2025-11-14;17:00:00,-0.00723791,1.16149704,-0.008406815,0.008406815,0,0,0,0,0,0,SELL
STK,RKLB,ROCKET LAB CORP,NASDAQ,2025-11-17;15:18:04,-25,42.59,-1064.75,1064.75,0,-0.32745725,1064.42254275,43.31,-557.778314,506.64423,SELL
STK,RKLB,ROCKET LAB CORP,NASDAQ,2025-11-17;15:19:11,30,42.6,1278,-1278,0,-0.31791725,-1278.31791725,43.31,1278.31791725,0,BUY
CASH,EUR.USD,EUR.USD,,2025-11-17;15:19:11,-46.15,1.15829,-53.4550835,53.4550835,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-11-17;15:19:11,-0.01,1.15834,-0.0115834,0.0115834,0,0,0,0,0,0,SELL
STK,META,META PLATFORMS INC-CLASS A,NASDAQ,2025-11-18;09:34:51,1,594,594,-594,0,-0.34917925,-594.34917925,597.69,594.34917925,0,BUY
CASH,EUR.USD,EUR.USD,,2025-11-18;09:34:51,-512.36,1.15919,-593.9225884,593.9225884,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-11-18;09:34:51,-0.3,1.15912,-0.347736,0.347736,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-11-18;09:34:52,-0.08,1.15919,-0.0927352,0.0927352,0,0,0,0,0,0,SELL
STK,ETHEEUR,COINSHARES PHYSICAL STK ETHR,EBS,2025-11-19;03:04:22,5,80.11,400.55,-400.55,0,-1.25,-401.8,76.685,401.8,0,BUY
STK,CMCSA,COMCAST CORP-CLASS A,NASDAQ,2025-12-10;12:34:04,10,27.078,270.78,-270.78,0,-0.35225725,-271.13225725,27.58,271.13225725,0,BUY
STK,CMCSA,COMCAST CORP-CLASS A,NASDAQ,2025-12-10;12:34:04,10,27.0774,270.774,-270.774,0,-0.002,-270.776,27.58,270.776,0,BUY
CASH,EUR.USD,EUR.USD,,2025-12-10;12:34:04,-0.06,1.16488,-0.0698928,0.0698928,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-12-10;12:34:04,-462.64,1.16488,-538.9200832,538.9200832,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-12-10;17:00:00,-0.00200011,1.16918552,-0.0023385,0.0023385,0,0,0,0,0,0,SELL
STK,CMCSA,COMCAST CORP-CLASS A,NASDAQ,2025-12-11;12:49:36,7,27.4,191.8,-191.8,0,-0.34255725,-192.14255725,27.6,192.14255725,0,BUY
CASH,EUR.USD,EUR.USD,,2025-12-11;12:49:36,-0.29,1.17504,-0.3407616,0.3407616,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-12-11;12:49:37,-163.18,1.1751,-191.752818,191.752818,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-12-11;12:49:37,-0.04,1.1751,-0.047004,0.047004,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-12-11;17:00:00,-0.00015172,1.17325586,-0.000178001,0.000178001,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-12-11;17:00:00,-0.00153057,1.17319185,-0.00179565,0.00179565,0,0,0,0,0,0,SELL
STK,VSNT,VERSANT MEDIA GROUP INC-WI,NASDAQ,2026-01-05;09:35:57,-0.08,41.72,-3.3376,3.3376,0,-0.033432131,3.304167869,40.57,-2.955342,0.348826,SELL
STK,RKLB,ROCKET LAB CORP,NASDAQ,2026-01-07;04:00:00,-17,84,-1428,1428,0,-0.35697225,1427.64302775,84.08,-724.380153,703.262875,SELL
STK,RKLB,ROCKET LAB CORP,NASDAQ,2026-01-07;04:00:00,-13,84.2,-1094.6,1094.6,0,-0.005135,1094.594865,84.08,-553.937764,540.657101,SELL
STK,VSNT,VERSANT MEDIA GROUP INC,NASDAQ,2026-01-07;09:30:00,-1,35.5,-35.5,35.5,0,-0.35215225,35.14784775,33.27,-37.050427,-1.90258,SELL
STK,NVDA,NVIDIA CORP,NASDAQ,2026-01-13;08:32:40,100,185.95,18595,-18595,0,-0.24025725,-18595.24025725,185.81,18595.24025725,0,BUY
STK,NVDA,NVIDIA CORP,NASDAQ,2026-01-15;10:06:55,-100,188.45,-18845,18845,0,-0.25975725,18844.74024275,187.05,-18182.801251,661.938991,SELL
STK,JPM,JPMORGAN CHASE & CO,NYSE,2026-01-15;10:14:04,50,312.4,15620,-15620,0,-0.36025725,-15620.36025725,309.26,15620.36025725,0,BUY
STK,JPM,JPMORGAN CHASE & CO,NYSE,2026-01-15;10:41:38,-50,312.02,-15601,15601,0,-0.21000725,15600.78999275,309.26,-15620.360257,-19.570265,SELL
STK,JPM,JPMORGAN CHASE & CO,NYSE,2026-01-15;11:15:31,-16,310.9,-4974.4,4974.4,0,-0.40457725,4973.99542275,309.26,-4973.99542275,0,SELL
STK,JPM,JPMORGAN CHASE & CO,NYSE,2026-01-15;11:15:31,-34,310.9,-10570.6,10570.6,0,-0.11543,10570.48457,309.26,-10570.48457,0,SELL
STK,JPM,JPMORGAN CHASE & CO,NYSE,2026-01-15;11:53:35,2,310.88,621.76,-621.76,0,-0.35065725,-622.11065725,309.26,621.749428,-0.361229,BUY
STK,JPM,JPMORGAN CHASE & CO,NYSE,2026-01-15;11:53:35,48,310.8782,14922.1536,-14922.1536,0,-0.0096,-14922.1632,309.26,14922.730565,0.567365,BUY
STK,NVDA,NVIDIA CORP,NASDAQ,2026-01-21;10:01:12,85,180.48,15340.8,-15340.8,0,-0.62225725,-15341.42225725,183.32,15341.42225725,0,BUY
STK,NVDA,NVIDIA CORP,NASDAQ,2026-01-21;10:01:15,15,180.48,2707.2,-2707.2,0,0.0165,-2707.1835,183.32,2707.1835,0,BUY
STK,NVDA,NVIDIA CORP,NASDAQ,2026-01-21;10:31:07,-100,180.98,-18098,18098,0,-0.25975725,18097.74024275,183.32,-18086.924654,10.815589,SELL
STK,NVDA,NVIDIA CORP,NASDAQ,2026-01-21;11:11:28,100,183.485,18348.5,-18348.5,0,-0.37025725,-18348.87025725,183.32,18348.87025725,0,BUY
STK,NVDA,NVIDIA CORP,NASDAQ,2026-01-22;10:59:06,-100,185.2,-18520,18520,0,-0.25975725,18519.74024275,184.84,-18327.799231,191.941012,SELL
STK,MSFT,MICROSOFT CORP,NASDAQ,2026-01-22;11:03:27,10,446.7,4467,-4467,0,-0.33925725,-4467.33925725,451.14,4467.33925725,0,BUY
STK,MSFT,MICROSOFT CORP,NASDAQ,2026-01-23;10:20:40,-10,462.5,-4625,4625,0,-0.34120725,4624.65879275,465.95,-4467.339257,157.319536,SELL
STK,JPM,JPMORGAN CHASE & CO,NYSE,2026-01-26;09:31:47,50,299,14950,-14950,0,-0.20025725,-14950.20025725,301.04,14950.20025725,0,BUY
STK,JPM,JPMORGAN CHASE & CO,NYSE,2026-01-26;09:43:50,-50,300.2,-15010,15010,0,-0.21000725,15009.78999275,301.04,-14950.200257,59.589735,SELL
STK,EMIM,ISHARES CORE EM IMI ACC,AEB,2026-01-26;09:52:26,12,40.8239,489.89,-489.89,0,-1.25,-491.14,40.901,491.14,0,BUY
STK,MSFT,MICROSOFT CORP,NASDAQ,2026-01-26;10:49:08,10,469.6,4696,-4696,0,-0.33925725,-4696.33925725,470.28,4696.33925725,0,BUY
STK,AAPL,APPLE INC,NASDAQ,2026-01-26;11:03:17,30,254.86,7645.8,-7645.8,0,-0.31725725,-7646.11725725,255.41,7646.11725725,0,BUY
STK,AAPL,APPLE INC,NASDAQ,2026-01-26;11:47:35,40,255.0188,10200.752,-10200.752,0,-0.35825725,-10201.11025725,255.41,10201.11025725,0,BUY
STK,MSFT,MICROSOFT CORP,NASDAQ,2026-01-28;09:37:30,-10,480,-4800,4800,0,-0.33820725,4799.66179275,481.63,-4696.339257,103.322536,SELL
STK,AAPL,APPLE INC,NASDAQ,2026-01-28;09:42:54,-70,256.5,-17955,17955,0,-0.28690725,17954.71309275,256.44,-17847.227514,107.485579,SELL
STK,CMCSA,COMCAST CORP-CLASS A,NASDAQ,2026-01-28;13:06:07,-27,28.785,-777.195,777.195,0,-0.36092225,776.83407775,28.41,-694.045045,82.789033,SELL
STK,COIN,COINBASE GLOBAL INC -CLASS A,NASDAQ,2026-01-29;12:11:31,35,197.03,6896.05,-6896.05,0,-0.31175725,-6896.36175725,199.18,6896.36175725,0,BUY
STK,COIN,COINBASE GLOBAL INC -CLASS A,NASDAQ,2026-01-29;12:11:31,15,197.03,2955.45,-2955.45,0,0.0165,-2955.4335,199.18,2955.4335,0,BUY
STK,ETHEEUR,COINSHARES ETHEREUM STAK ETP,EBS,2026-01-29;13:37:01,5,70.61,353.05,-353.05,0,-1.25,-354.3,71.09,354.3,0,BUY
STK,COIN,COINBASE GLOBAL INC -CLASS A,NASDAQ,2026-02-02;09:26:48,10,188.97,1889.7,-1889.7,0,-0.35225725,-1890.05225725,187.86,1890.05225725,0,BUY
STK,PLTR,PALANTIR TECHNOLOGIES INC-A,NASDAQ,2026-02-02;09:56:03,50,150.5,7525,-7525,0,-0.29525725,-7525.29525725,147.76,7525.29525725,0,BUY
STK,PLTR,PALANTIR TECHNOLOGIES INC-A,NASDAQ,2026-02-02;10:07:22,-50,150.51,-7525.5,7525.5,0,-0.30500725,7525.19499275,147.76,-7525.295257,-0.100264,SELL
STK,RKLB,ROCKET LAB CORP,NASDAQ,2026-02-03;09:33:16,100,77.485,7748.5,-7748.5,0,-0.37025725,-7748.87025725,81.27,7748.87025725,0,BUY
STK,IREN,IREN LTD,NASDAQ,2026-02-03;09:41:08,100,53.8,5380,-5380,0,-0.24025725,-5380.24025725,54.39,5380.24025725,0,BUY
STK,IREN,IREN LTD,NASDAQ,2026-02-03;09:48:40,-100,55.2,-5520,5520,0,-0.25975725,5519.74024275,54.39,-5380.240257,139.499986,SELL
STK,RKLB,ROCKET LAB CORP,NASDAQ,2026-02-03;10:42:44,-100,79,-7900,7900,0,-0.25975725,7899.74024275,81.27,-7748.870257,150.869986,SELL
STK,COIN,COINBASE GLOBAL INC -CLASS A,NASDAQ,2026-02-03;12:05:11,10,180.62,1806.2,-1806.2,0,-0.35225725,-1806.55225725,179.66,1806.55225725,0,BUY
STK,RKLB,ROCKET LAB CORP,NASDAQ,2026-02-04;10:44:07,-50,74.5,-3725,3725,0,-0.30500725,3724.69499275,73.11,-3724.69499275,0,SELL
STK,RKLB,ROCKET LAB CORP,NASDAQ,2026-02-04;10:46:04,50,74,3700,-3700,0,-0.29525725,-3700.29525725,73.11,3724.694993,24.399736,BUY
STK,CMCSA,COMCAST CORP-CLASS A,NASDAQ,2026-02-05;09:33:02,0.2463,30.73,7.568799,-7.568799,0,-0.007623622,-7.576422622,30.85,7.576422622,0,BUY
STK,CMCSA,COMCAST CORP-CLASS A,NASDAQ,2026-02-05;11:19:25,-0.2463,30.56,-7.526928,7.526928,0,-0.075421891,7.451506109,30.85,-7.576423,-0.124917,SELL
STK,ETHEEUR,COINSHARES ETHEREUM STAK ETP,EBS,2026-02-06;09:42:30,8,50.33,402.64,-402.64,0,-1.28771616,-403.92771616,51.89,403.92771616,0,BUY
STK,NVDA,NVIDIA CORP,NASDAQ,2026-02-06;10:36:21,50,182.4,9120,-9120,0,-0.29525725,-9120.29525725,185.41,9120.29525725,0,BUY
STK,NVDA,NVIDIA CORP,NASDAQ,2026-02-06;11:03:27,-57,183.2,-10442.4,10442.4,0,-0.29867225,10442.10132775,185.41,-10404.717042,37.384286,SELL
STK,NVDA,NVIDIA CORP,NASDAQ,2026-02-06;11:03:32,-0.0008,183.29,-0.146632,0.146632,0,-0.000000316,0.146631684,185.41,-0.145925,0.000707,SELL
STK,COIN,COINBASE GLOBAL INC -CLASS A,NASDAQ,2026-02-06;11:22:22,3,160.16,480.48,-480.48,0,-0.35085725,-480.83085725,165.12,480.83085725,0,BUY
STK,COIN,COINBASE GLOBAL INC -CLASS A,NASDAQ,2026-02-06;11:22:22,2,160.157,320.314,-320.314,0,-0.0004,-320.3144,165.12,320.3144,0,BUY
STK,NVDA,NVIDIA CORP,NASDAQ,2026-02-09;09:43:06,10,190.1,1901,-1901,0,-0.33925725,-1901.33925725,190.04,1901.33925725,0,BUY
STK,NVDA,NVIDIA CORP,NASDAQ,2026-02-09;09:43:06,40,190.1,7604,-7604,0,0.044,-7603.956,190.04,7603.956,0,BUY
STK,RKLB,ROCKET LAB CORP,NASDAQ,2026-02-09;09:46:42,100,75.6,7560,-7560,0,-0.24025725,-7560.24025725,75.84,7560.24025725,0,BUY
STK,RKLB,ROCKET LAB CORP,NASDAQ,2026-02-09;11:16:25,-100,76.4,-7640,7640,0,-0.25975725,7639.74024275,75.84,-7560.240257,79.499986,SELL
STK,NVDA,NVIDIA CORP,NASDAQ,2026-02-09;12:07:34,-50,191.8,-9590,9590,0,-0.30500725,9589.69499275,190.04,-9505.295257,84.399735,SELL
STK,NVDA,NVIDIA CORP,NASDAQ,2026-02-10;09:33:01,100,191.3,19130,-19130,0,-0.24025725,-19130.24025725,188.54,19130.24025725,0,BUY
STK,NVDA,NVIDIA CORP,NASDAQ,2026-02-10;09:38:37,-100,190.3,-19030,19030,0,-0.25975725,19029.74024275,188.54,-19130.240257,-100.500015,SELL
STK,RKLB,ROCKET LAB CORP,NASDAQ,2026-02-10;09:42:33,-45,73.2,-3294,3294,0,-0.30953225,3293.69046775,72.03,-3293.69046775,0,SELL
STK,RKLB,ROCKET LAB CORP,NASDAQ,2026-02-10;09:42:33,-55,73.2,-4026,4026,0,0.049775,4026.049775,72.03,-4026.049775,0,SELL
STK,RKLB,ROCKET LAB CORP,NASDAQ,2026-02-10;10:37:00,-50,74.9,-3745,3745,0,-0.30500725,3744.69499275,72.03,-3744.69499275,0,SELL
STK,RKLB,ROCKET LAB CORP,NASDAQ,2026-02-10;13:11:09,150,74.1,11115,-11115,0,-0.360385875,-11115.360385875,72.03,11064.435236,-50.92515,BUY
STK,RKLB,ROCKET LAB CORP,NASDAQ,2026-02-11;09:23:56,100,73.79,7379,-7379,0,-0.37025725,-7379.37025725,69.62,7379.37025725,0,BUY
STK,PLTR,PALANTIR TECHNOLOGIES INC-A,NASDAQ,2026-02-11;09:31:57,-25,137.485,-3437.125,3437.125,0,-0.36013225,3436.76486775,135.68,-3436.76486775,0,SELL
STK,PLTR,PALANTIR TECHNOLOGIES INC-A,NASDAQ,2026-02-11;09:31:57,-25,137.485,-3437.125,3437.125,0,-0.009875,3437.115125,135.68,-3437.115125,0,SELL
STK,RKLB,ROCKET LAB CORP,NASDAQ,2026-02-11;09:33:22,50,72.2,3610,-3610,0,-0.29525725,-3610.29525725,69.62,3610.29525725,0,BUY
